公司代码,年份,词频
000002,2013,移动互联网-2
000002,2014,移动互联网-11
000002,2014,智能家居-1
000002,2015,移动互联网-2
000002,2017,人工智能-1
000002,2017,物联网-1
000002,2019,大数据-1
000002,2019,智能家居-1
000004,2012,电子商务-1
000004,2017,移动互联网-3
000004,2018,人工智能-1
000004,2018,移动互联网-8
000004,2019,大数据-2
000004,2019,云计算-3
000004,2019,物联网-4
000004,2019,移动互联网-17
000004,2019,工业互联网-1
000004,2019,移动互联-1
000005,2015,大数据-3
000005,2016,大数据-3
000006,2008,商业智能-1
000006,2011,商业智能-1
000006,2012,商业智能-2
000006,2016,电子商务-1
000006,2017,大数据-1
000006,2017,电子商务-1
000007,2014,大数据-4
000007,2014,云计算-1
000007,2015,云计算-4
000007,2015,电子商务-3
000007,2015,互联网金融-6
000007,2016,大数据-1
000007,2016,云计算-7
000007,2016,电子商务-3
000007,2017,大数据-1
000007,2017,云计算-3
000008,2015,大数据-5
000008,2015,物联网-2
000008,2016,人工智能-1
000008,2016,大数据-11
000008,2016,云计算-1
000008,2016,物联网-1
000008,2017,人工智能-2
000008,2017,智能机器人-1
000008,2017,大数据-10
000008,2017,数据挖掘-1
000008,2017,物联网-1
000008,2017,工业互联网-7
000008,2018,智能机器人-3
000008,2018,深度学习-2
000008,2018,自动驾驶-1
000008,2018,大数据-11
000008,2018,物联网-1
000008,2018,智能穿戴-1
000008,2018,工业互联网-3
000008,2019,人工智能-2
000008,2019,智能机器人-2
000008,2019,机器学习-1
000008,2019,大数据-11
000008,2019,云计算-1
000008,2019,物联网-3
000008,2019,C2B-1
000008,2019,B2C-1
000008,2019,智能交通-1
000009,2009,智能电网-1
000009,2014,互联网医疗-1
000009,2014,电子商务-1
000009,2015,互联网医疗-3
000009,2016,大数据-1
000009,2016,虚拟现实-2
000009,2016,物联网-1
000009,2016,移动互联网-1
000010,2008,电子商务-3
000010,2009,电子商务-2
000010,2010,电子商务-2
000010,2011,电子商务-1
000011,2015,大数据-2
000011,2015,移动互联-2
000011,2018,人工智能-1
000011,2019,人工智能-2
000011,2019,大数据-3
000011,2019,物联网-1
000012,2016,智能穿戴-1
000012,2017,智能家居-1
000012,2018,智能家居-2
000012,2019,智能家居-3
000014,2018,电子商务-2
000016,2011,移动互联-2
000016,2011,电子商务-5
000016,2011,B2B-1
000016,2012,云计算-1
000016,2012,电子商务-4
000016,2012,B2B-1
000016,2012,B2C-1
000016,2013,云计算-1
000016,2013,B2B-4
000016,2013,B2C-3
000016,2014,云计算-1
000016,2014,B2B-1
000016,2014,B2C-1
000016,2015,云计算-1
000016,2015,移动互联-5
000016,2015,电子商务-2
000016,2015,B2B-5
000016,2015,B2C-4
000016,2016,大数据-2
000016,2016,云计算-1
000016,2016,移动互联-2
000016,2016,电子商务-1
000016,2016,B2B-5
000016,2016,B2C-4
000016,2017,人工智能-2
000016,2017,大数据-2
000016,2017,云计算-1
000016,2017,物联网-1
000016,2017,移动互联-2
000016,2017,电子商务-1
000016,2017,B2B-5
000016,2017,B2C-3
000016,2018,人脸识别-2
000016,2018,物联网-1
000016,2018,移动互联-7
000016,2018,电子商务-8
000016,2018,B2B-5
000016,2018,B2C-3
000016,2019,物联网-1
000016,2019,移动互联-6
000016,2019,电子商务-1
000016,2019,B2B-5
000016,2019,B2C-3
000017,2012,电子商务-1
000017,2014,电子商务-1
000018,2018,大数据-1
000018,2015,电子商务-1
000019,2009,电子商务-3
000019,2010,电子商务-2
000019,2013,O2O-3
000019,2013,电子商务-1
000019,2014,O2O-4
000019,2014,移动互联网-1
000019,2014,电子商务-3
000019,2015,移动互联网-1
000019,2015,电子商务-3
000019,2016,电子商务-2
000019,2017,移动互联网-1
000019,2017,电子商务-1
000019,2018,大数据-1
000019,2018,云计算-1
000019,2018,物联网-1
000019,2018,移动互联网-1
000019,2018,电子商务-4
000019,2018,B2C-1
000019,2018,无人零售-1
000019,2019,大数据-1
000019,2019,云计算-1
000019,2019,物联网-1
000019,2019,移动互联网-1
000019,2019,电子商务-5
000019,2019,B2C-1
000020,2014,移动互联网-1
000020,2014,智能家居-1
000020,2015,大数据-1
000020,2015,云计算-1
000020,2015,物联网-1
000021,2010,移动支付-1
000021,2010,电子商务-1
000021,2011,云计算-2
000021,2011,物联网-1
000021,2011,第三方支付-1
000021,2011,智能电网-1
000021,2013,智能电网-2
000021,2014,第三方支付-1
000021,2014,智能电网-1
000021,2015,第三方支付-1
000021,2017,云计算-1
000021,2017,物联网-10
000021,2018,人工智能-1
000021,2018,人脸识别-1
000021,2018,大数据-2
000021,2018,虚拟现实-1
000021,2018,云计算-3
000021,2018,物联网-12
000021,2018,智能穿戴-1
000021,2019,物联网-8
000022,2015,物联网-5
000022,2016,物联网-1
000023,2015,电子商务-1
000024,2010,电子商务-2
000024,2013,大数据-1
000024,2013,物联网-1
000024,2013,O2O-1
000024,2013,移动互联网-1
000025,2014,大数据-1
000025,2014,电子商务-4
000025,2015,大数据-2
000025,2015,物联网-1
000025,2015,电子商务-11
000025,2016,大数据-3
000025,2016,电子商务-2
000025,2016,互联网金融-1
000025,2017,大数据-1
000025,2017,电子商务-10
000025,2018,物联网-1
000025,2018,O2O-1
000025,2018,电子商务-6
000025,2019,大数据-6
000026,2019,物联网-1
000026,2019,智能穿戴-3
000026,2011,电子商务-3
000026,2012,电子商务-1
000026,2013,电子商务-2
000026,2014,O2O-1
000026,2014,电子商务-1
000026,2015,电子商务-3
000026,2016,大数据-1
000026,2016,电子商务-1
000026,2017,人工智能-1
000026,2017,电子商务-1
000026,2018,人工智能-2
000026,2018,大数据-1
000026,2018,物联网-2
000026,2018,电子商务-1
000027,2015,互联网金融-1
000027,2016,互联网金融-1
000027,2017,互联网金融-1
000027,2018,大数据-1
000027,2018,智能电网-1
000027,2018,互联网金融-1
000028,2011,电子商务-1
000028,2013,电子商务-2
000028,2013,B2B-1
000028,2014,O2O-1
000028,2014,B2B-1
000028,2014,B2C-1
000028,2015,大数据-1
000028,2015,O2O-2
000028,2015,电子商务-1
000028,2016,O2O-1
000028,2016,电子商务-1
000028,2017,人工智能-1
000028,2017,大数据-3
000028,2017,物联网-1
000028,2017,移动支付-1
000028,2017,B2B-2
000028,2018,大数据-3
000028,2018,云计算-2
000028,2018,物联网-1
000028,2018,O2O-1
000028,2018,B2B-1
000028,2018,B2C-1
000028,2019,大数据-1
000028,2019,O2O-2
000028,2019,电子商务-1
000028,2019,B2B-1
000028,2019,B2C-1
000030,2016,移动互联-1
000030,2017,自动驾驶-1
000030,2017,网联-3
000030,2017,移动互联-1
000030,2018,自动驾驶-1
000030,2018,网联-4
000030,2019,自动驾驶-2
000030,2019,网联-3
000031,2015,大数据-3
000031,2016,大数据-1
000031,2019,人工智能-1
000031,2019,大数据-2
000032,2011,电子商务-3
000032,2012,商业智能-1
000032,2012,物联网-1
000032,2012,移动支付-1
000032,2012,移动互联网-2
000032,2012,电子商务-4
000032,2013,商业智能-2
000032,2013,人脸识别-2
000032,2013,大数据-3
000032,2013,云计算-2
000032,2013,物联网-2
000032,2013,移动支付-1
000032,2013,移动互联网-2
000032,2013,移动互联-1
000032,2013,智能交通-1
000032,2014,商业智能-4
000032,2014,O2O-1
000032,2014,电子商务-2
000032,2014,智能交通-1
000032,2015,商业智能-4
000032,2015,电子商务-4
000032,2016,商业智能-4
000032,2016,物联网-1
000032,2016,电子商务-3
000032,2017,商业智能-9
000032,2017,大数据-3
000032,2017,云计算-1
000032,2017,物联网-2
000032,2017,电子商务-2
000032,2017,智能交通-1
000032,2018,商业智能-7
000032,2018,大数据-4
000032,2018,云计算-2
000032,2018,物联网-4
000032,2018,工业互联网-1
000032,2018,智能交通-10
000032,2019,人工智能-1
000032,2019,商业智能-1
000032,2019,自动驾驶-1
000032,2019,大数据-7
000032,2019,云计算-3
000032,2019,物联网-9
000032,2019,电子商务-1
000032,2019,智能交通-8
000033,2016,大数据-3
000033,2016,云计算-2
000033,2016,移动互联网-1
000033,2016,电子商务-5
000033,2016,B2B-1
000033,2016,B2C-1
000034,2013,电子商务-1
000034,2014,互联网金融-1
000034,2016,大数据-12
000034,2016,云计算-10
000034,2016,物联网-1
000034,2016,移动互联-2
000034,2016,电子商务-2
000034,2016,B2B-5
000034,2016,B2C-1
000034,2017,人工智能-2
000034,2017,大数据-7
000034,2017,云计算-18
000034,2017,物联网-1
000034,2017,B2B-1
000034,2018,人工智能-7
000034,2018,智能机器人-1
000034,2018,机器学习-1
000034,2018,自动驾驶-1
000034,2018,自然语言处理-1
000034,2018,大数据-22
000034,2018,混合现实-1
000034,2018,云计算-36
000034,2018,物联网-9
000034,2018,数字营销-1
000034,2019,人工智能-4
000034,2019,大数据-16
000034,2019,混合现实-1
000034,2019,云计算-36
000034,2019,物联网-7
000034,2019,区块链-1
000034,2019,网联-2
000034,2019,移动互联网-1
000034,2019,工业互联网-1
000034,2019,智慧农业-2
000035,2016,电子商务-1
000035,2017,大数据-2
000035,2017,云计算-1
000035,2017,物联网-4
000035,2017,电子商务-1
000035,2018,大数据-2
000035,2018,云计算-1
000035,2018,物联网-5
000035,2018,移动互联网-1
000035,2019,云计算-1
000035,2019,物联网-3
000035,2019,移动互联网-1
000036,2015,移动互联网-1
000036,2016,大数据-1
000036,2016,互联网金融-1
000036,2017,大数据-4
000036,2017,移动支付-1
000036,2017,电子商务-1
000036,2017,互联网金融-3
000036,2018,人工智能-1
000038,2015,O2O-1
000038,2015,移动互联网-5
