公司代码,年份,词频
000002,2007,0
000002,2008,0
000002,2009,0
000002,2010,0
000002,2011,0
000002,2012,0
000002,2013,2
000002,2014,12
000002,2015,2
000002,2016,0
000002,2017,2
000002,2018,0
000002,2019,2
000004,2007,0
000004,2008,0
000004,2009,0
000004,2010,0
000004,2011,0
000004,2012,1
000004,2013,0
000004,2014,0
000004,2015,0
000004,2016,0
000004,2017,3
000004,2018,9
000004,2019,28
000005,2007,0
000005,2008,0
000005,2009,0
000005,2010,0
000005,2011,0
000005,2012,0
000005,2013,0
000005,2014,0
000005,2015,3
000005,2016,3
000005,2017,0
000005,2018,0
000005,2019,0
000006,2007,0
000006,2008,1
000006,2009,0
000006,2010,0
000006,2011,1
000006,2012,2
000006,2013,0
000006,2014,0
000006,2015,0
000006,2016,1
000006,2017,2
000006,2018,0
000006,2019,0
000007,2007,0
000007,2008,0
000007,2009,0
000007,2010,0
000007,2011,0
000007,2012,0
000007,2013,0
000007,2014,5
000007,2015,13
000007,2016,11
000007,2017,4
000007,2018,0
000007,2019,0
000008,2007,0
000008,2008,0
000008,2009,0
000008,2010,0
000008,2011,0
000008,2012,0
000008,2013,0
000008,2014,0
000008,2015,7
000008,2016,14
000008,2017,22
000008,2018,22
000008,2019,23
000009,2007,0
000009,2008,0
000009,2009,1
000009,2010,0
000009,2011,0
000009,2012,0
000009,2013,0
000009,2014,2
000009,2015,3
000009,2016,5
000009,2017,0
000009,2018,0
000009,2019,0
000010,2015,0
000010,2016,0
000010,2017,0
000010,2007,0
000010,2008,3
000010,2009,2
000010,2010,2
000010,2011,1
000010,2012,0
000010,2013,0
000010,2014,0
000011,2007,0
000011,2008,0
000011,2009,0
000011,2010,0
000011,2011,0
000011,2012,0
000011,2013,0
000011,2014,0
000011,2015,4
000011,2016,0
000011,2017,0
000011,2018,1
000011,2019,6
000012,2007,0
000012,2008,0
000012,2009,0
000012,2010,0
000012,2011,0
000012,2012,0
000012,2013,0
000012,2014,0
000012,2015,0
000012,2016,1
000012,2017,1
000012,2018,2
000012,2019,3
000014,2007,0
000014,2008,0
000014,2009,0
000014,2010,0
000014,2011,0
000014,2012,0
000014,2013,0
000014,2014,0
000014,2015,0
000014,2016,0
000014,2017,0
000014,2018,2
000014,2019,0
000016,2007,0
000016,2008,0
000016,2009,0
000016,2010,0
000016,2011,8
000016,2012,7
000016,2013,8
000016,2014,3
000016,2015,17
000016,2016,15
000016,2017,17
000016,2018,26
000016,2019,16
000017,2007,0
000017,2008,0
000017,2009,0
000017,2010,0
000017,2011,0
000017,2012,1
000017,2013,0
000017,2014,1
000017,2015,0
000017,2016,0
000017,2017,0
000017,2018,0
000017,2019,0
000018,2018,1
000018,2007,0
000018,2008,0
000018,2009,0
000018,2010,0
000018,2011,0
000018,2012,0
000018,2013,0
000018,2014,0
000018,2015,1
000018,2016,0
000018,2017,0
000019,2007,0
000019,2008,0
000019,2009,3
000019,2010,2
000019,2011,0
000019,2012,0
000019,2013,4
000019,2014,8
000019,2015,4
000019,2016,2
000019,2017,2
000019,2018,10
000019,2019,10
000020,2007,0
000020,2008,0
000020,2009,0
000020,2010,0
000020,2011,0
000020,2012,0
000020,2013,0
000020,2014,2
000020,2015,3
000020,2016,0
000020,2017,0
000020,2018,0
000020,2019,0
000021,2007,0
000021,2008,0
000021,2009,0
000021,2010,2
000021,2011,5
000021,2012,0
000021,2013,2
000021,2014,2
000021,2015,1
000021,2016,0
000021,2017,11
000021,2018,21
000021,2019,8
000022,2007,0
000022,2008,0
000022,2009,0
000022,2010,0
000022,2011,0
000022,2012,0
000022,2013,0
000022,2014,0
000022,2015,5
000022,2016,1
000022,2017,0
000023,2007,0
000023,2008,0
000023,2009,0
000023,2010,0
000023,2011,0
000023,2012,0
000023,2013,0
000023,2014,0
000023,2015,1
000023,2016,0
000023,2017,0
000023,2018,0
000023,2019,0
000024,2007,0
000024,2008,0
000024,2009,0
000024,2010,2
000024,2011,0
000024,2012,0
000024,2013,4
000024,2014,0
000025,2007,0
000025,2008,0
000025,2009,0
000025,2010,0
000025,2011,0
000025,2012,0
000025,2013,0
000025,2014,5
000025,2015,14
000025,2016,6
000025,2017,11
000025,2018,8
000025,2019,6
000026,2019,4
000026,2007,0
000026,2008,0
000026,2009,0
000026,2010,0
000026,2011,3
000026,2012,1
000026,2013,2
000026,2014,2
000026,2015,3
000026,2016,2
000026,2017,2
000026,2018,6
000027,2007,0
000027,2008,0
000027,2009,0
000027,2010,0
000027,2011,0
000027,2012,0
000027,2013,0
000027,2014,0
000027,2015,1
000027,2016,1
000027,2017,1
000027,2018,3
000027,2019,0
000028,2007,0
000028,2008,0
000028,2009,0
000028,2010,0
000028,2011,1
000028,2012,0
000028,2013,3
000028,2014,3
000028,2015,4
000028,2016,2
000028,2017,8
000028,2018,9
000028,2019,6
000029,2007,0
000029,2008,0
000029,2009,0
000029,2010,0
000029,2011,0
000029,2012,0
000029,2013,0
000029,2014,0
000029,2015,0
000029,2016,0
000029,2017,0
000029,2018,0
000029,2019,0
000030,2007,0
000030,2008,0
000030,2009,0
000030,2010,0
000030,2011,0
000030,2012,0
000030,2013,0
000030,2014,0
000030,2015,0
000030,2016,1
000030,2017,5
000030,2018,5
000030,2019,5
000031,2007,0
000031,2008,0
000031,2009,0
000031,2010,0
000031,2011,0
000031,2012,0
000031,2013,0
000031,2014,0
000031,2015,3
000031,2016,1
000031,2017,0
000031,2018,0
000031,2019,3
000032,2007,0
000032,2008,0
000032,2009,0
000032,2010,0
000032,2011,3
000032,2012,9
000032,2013,16
000032,2014,8
000032,2015,8
000032,2016,8
000032,2017,18
000032,2018,28
000032,2019,31
000033,2007,0
000033,2008,0
000033,2009,0
000033,2010,0
000033,2011,0
000033,2012,0
000033,2013,0
000033,2014,0
000033,2015,0
000033,2016,13
000034,2007,0
000034,2008,0
000034,2009,0
000034,2010,0
000034,2011,0
000034,2012,0
000034,2013,1
000034,2014,1
000034,2015,0
000034,2016,33
000034,2017,29
000034,2018,80
000034,2019,71
000035,2007,0
000035,2008,0
000035,2009,0
000035,2010,0
000035,2011,0
000035,2012,0
000035,2013,0
000035,2014,0
000035,2015,0
000035,2016,1
000035,2017,8
000035,2018,9
000035,2019,5
000036,2007,0
000036,2008,0
000036,2009,0
000036,2010,0
000036,2011,0
000036,2012,0
000036,2013,0
000036,2014,0
000036,2015,1
000036,2016,2
000036,2017,9
000036,2018,1
000036,2019,0
000037,2007,0
000037,2008,0
000037,2009,0
000037,2010,0
000037,2011,0
000037,2012,0
000037,2013,0
000037,2014,0
000037,2015,0
000037,2016,0
000037,2017,0
000037,2018,0
000037,2019,0
000038,2007,0
000038,2008,0
000038,2009,0
000038,2010,0
000038,2011,0
000038,2012,0
000038,2013,0
000038,2014,0
000038,2015,7
000038,2016,34
000038,2017,39
000038,2018,49
000038,2019,41
000039,2007,0
000039,2008,0
000039,2009,0
000039,2010,0
000039,2011,0
000039,2012,0
000039,2013,0
000039,2014,0
000039,2015,1
000039,2016,1
000039,2017,4
000039,2018,7
000039,2019,9
000040,2007,0
000040,2008,0
000040,2009,0
000040,2010,0
000040,2011,0
000040,2012,0
000040,2013,0
000040,2014,0
000040,2015,1
000040,2016,0
000040,2017,0
000040,2018,5
000040,2019,2
000042,2007,0
000042,2008,0
000042,2009,0
000042,2010,0
000042,2011,0
000042,2012,0
000042,2013,0
000042,2014,0
000042,2015,1
000042,2016,0
000042,2017,0
000042,2018,1
000042,2019,0
000043,2018,11
000043,2007,0
000043,2008,0
000043,2009,0
000043,2010,0
000043,2011,0
000043,2012,0
000043,2013,0
000043,2014,3
000043,2015,3
000043,2016,4
000043,2017,8
000045,2007,0
000045,2008,0
000045,2009,0
000045,2010,0
000045,2011,0
000045,2012,0
000045,2013,0
000045,2014,0
000045,2015,0
000045,2016,0
000045,2017,0
000045,2018,0
000045,2019,0
000048,2007,0
000048,2008,0
000048,2009,0
000048,2010,0
000048,2011,0
000048,2012,0
000048,2013,0
000048,2014,13
000048,2015,5
000048,2016,7
000048,2017,4
000048,2018,3
000048,2019,0
000049,2007,0
000049,2008,0
000049,2009,0
000049,2010,0
000049,2011,0
000049,2012,0
000049,2013,1
000049,2014,1
000049,2015,2
000049,2016,5
000049,2017,9
000049,2018,13
000049,2019,18
000050,2007,0
000050,2008,0
000050,2009,0
000050,2010,0
000050,2011,0
000050,2012,0
000050,2013,0
000050,2014,3
000050,2015,13
000050,2016,22
000050,2017,22
000050,2018,23
000050,2019,29
000055,2007,0
000055,2008,0
000055,2009,0
000055,2010,0
000055,2011,0
000055,2012,0
000055,2013,0
000055,2014,0
000055,2015,0
000055,2016,0
000055,2017,2
000055,2018,0
000055,2019,8
000056,2007,0
000056,2008,0
000056,2009,0
000056,2010,0
000056,2011,0
000056,2012,0
000056,2013,1
000056,2014,1
000056,2015,0
000056,2016,0
000056,2017,1
000056,2018,4
000056,2019,4
000058,2007,0
